StudentID,Age,StudyTimeWeekly,Absences,GPA,Gender,Ethnicity,ParentalEducation,Tutoring,ParentalSupport,ClubInvolvement,Sports,Music,Volunteering,GradeClass
1024,18,18.94613798,20,1.770131877,Female,Other,Higher,No,Moderate,Yes,No,No,No,F
1025,18,7.380354648,15,1.505155622,Female,Caucasian,High School,No,Moderate,No,No,No,No,F
1026,16,2.710337471,5,2.977851918,Female,Caucasian,Bachelor's,No,Very High,No,No,Yes,No,C
1027,16,10.36799253,2,2.948717672,Male,Caucasian,High School,No,Moderate,No,Yes,No,No,C
1028,16,2.252184587,8,2.14520472,Female,Caucasian,Bachelor's,No,High,No,No,Yes,No,D
1029,18,18.67974837,10,2.854803929,Male,Caucasian,nan,No,High,Yes,No,No,No,C
1030,18,3.671592547,20,1.519441726,Male,Caucasian,Some College,No,High,Yes,No,No,No,F
1031,15,5.055317199,12,1.72712031,Male,Asian,Some College,Yes,nan,No,Yes,No,No,F
1032,15,8.132730538,17,1.847535471,Male,Caucasian,Bachelor's,No,Very High,No,No,No,Yes,F
1033,18,7.663289371,25,0.384616973,Male,Caucasian,Bachelor's,No,Low,No,Yes,No,No,F
1034,16,15.89325785,21,0.949406098,Male,Other,Bachelor's,No,nan,Yes,Yes,No,No,F
1035,16,9.126336411,27,1.140959418,Male,Caucasian,Bachelor's,Yes,Moderate,Yes,Yes,No,No,F
1036,15,3.4153652,23,0.26147226,Male,Other,High School,No,Low,No,No,No,No,F
1037,18,5.34419791,26,0.218284857,Male,Caucasian,High School,Yes,Low,No,No,No,No,F
1038,15,10.1822677,21,1.067763551,Male,Asian,High School,Yes,Low,No,Yes,No,No,F
1039,15,2.949078349,3,3.018905858,Female,African American,High School,Yes,Low,Yes,Yes,No,No,B
1040,17,12.23311351,21,1.526867832,Female,Asian,High School,Yes,High,Yes,Yes,No,No,F
1041,17,11.31494613,23,1.0582874,Female,Other,Some College,Yes,Low,No,No,No,No,F
1042,17,14.29404633,7,2.625128098,Male,Caucasian,High School,No,Moderate,No,No,No,No,C
1043,16,18.75409231,12,2.808754822,Female,Other,Some College,Yes,Very High,No,No,No,No,C
1044,18,18.24509122,9,2.888891669,Female,Caucasian,High School,No,Moderate,No,Yes,No,No,C
1045,18,18.92151236,1,4,Female,Caucasian,High School,Yes,High,Yes,Yes,No,No,A
1046,18,4.89431194,7,2.515300272,Male,Caucasian,Some College,No,Very High,No,No,Yes,No,C
1047,18,2.631306133,5,2.56376543,Male,African American,Some College,No,Low,Yes,No,No,No,C
1048,17,6.04553401,15,1.703611803,Male,Caucasian,Some College,No,Moderate,No,No,No,No,F
1049,16,17.90170346,17,2.099885157,Male,African American,Some College,No,High,No,No,Yes,No,D
1050,16,19.44106949,16,2.461046963,Female,African American,High School,No,Very High,Yes,No,No,No,D
1051,17,17.18649902,5,2.935477192,Female,Asian,Some College,No,High,No,No,No,No,C
1052,16,2.200354423,12,1.986378059,Female,Asian,nan,Yes,Low,Yes,No,Yes,No,F
1053,17,18.94855996,22,1.571544191,Female,Caucasian,High School,No,Very High,No,No,Yes,No,F
1054,18,8.467160547,13,1.66431069,Male,Caucasian,Some College,No,Low,No,Yes,No,No,F
1055,17,0.186205815,29,0.756259167,Male,Caucasian,nan,Yes,Moderate,Yes,Yes,No,No,F
1056,18,8.847874815,25,0.802769539,Male,Caucasian,High School,No,Moderate,No,Yes,No,No,F
1057,18,0.921383394,20,1.342387178,Female,Caucasian,Higher,No,Moderate,No,Yes,Yes,No,F
1058,15,10.87755842,29,0.286571288,Male,Caucasian,Higher,No,High,Yes,No,No,No,F
1059,17,6.771080549,9,2.613838694,Male,Caucasian,High School,Yes,High,No,Yes,No,No,C
1060,15,9.468698672,23,0.929012555,Female,Other,nan,No,High,No,Yes,No,No,F
1061,17,12.26340721,10,1.892758696,Female,African American,High School,No,nan,Yes,No,Yes,No,F
1062,17,17.37602192,12,2.331261549,Male,Caucasian,High School,No,Moderate,No,No,Yes,No,D
1063,15,13.23803153,11,2.234238473,Male,African American,Bachelor's,No,High,No,Yes,No,No,D
1064,15,8.68097737,8,2.385828219,Male,Caucasian,High School,No,Moderate,No,Yes,No,No,D
1065,17,16.38855707,3,3.347356744,Male,Caucasian,Some College,Yes,Very High,No,No,No,No,B
1066,16,18.11164275,6,3.261855307,Male,African American,High School,Yes,High,Yes,No,No,No,B
1067,18,2.395199329,23,1.039623879,Male,Caucasian,Higher,No,High,No,Yes,No,No,F
1068,15,10.63865955,28,0.027818625,Female,Caucasian,High School,No,nan,No,Yes,No,No,F
1069,18,5.690239195,21,1.329964538,Female,Other,Some College,Yes,High,No,No,Yes,No,F
1070,16,0.941223958,1,3.283916522,Female,Asian,High School,No,Very High,No,No,Yes,No,B
1071,16,13.3709339,6,2.937454182,Male,African American,Some College,No,Moderate,Yes,No,No,No,C
1072,16,17.25541555,28,0.738868203,Female,African American,High School,No,High,No,No,Yes,Yes,F
1073,15,3.25805309,8,2.556801663,Male,African American,High School,No,Moderate,Yes,Yes,No,No,C
1074,16,16.24827315,4,3.300928569,Male,Caucasian,Bachelor's,Yes,Moderate,No,No,No,No,B
1075,15,17.06791467,14,2.200682947,Female,Caucasian,Bachelor's,No,High,Yes,No,Yes,No,D
1076,16,18.28680885,17,1.855865573,Male,Caucasian,Bachelor's,No,High,No,Yes,No,No,F
1077,18,5.305701782,3,2.734401494,Male,Caucasian,Some College,No,High,No,No,No,No,C
1078,18,18.0790613,18,2.131737297,Female,African American,Bachelor's,Yes,Low,Yes,Yes,No,No,D
1079,17,6.413255095,19,0.979769911,Female,Caucasian,nan,No,Low,No,No,No,No,F
1080,18,11.04676027,25,0.994325024,Female,Other,High School,No,High,No,Yes,No,No,F
1081,17,1.010149417,6,2.074699977,Male,Other,High School,No,Low,No,Yes,No,No,D
1082,18,0.877621767,25,0.500508036,Female,Asian,Some College,No,Moderate,No,No,No,No,F
1083,15,14.40746425,7,2.532438418,Female,African American,High School,No,nan,Yes,Yes,No,No,C
1084,18,8.88959956,16,1.463378036,Male,Asian,High School,No,Low,No,Yes,No,No,F
1085,17,5.125847507,12,2.342836773,Female,Caucasian,Some College,No,High,Yes,Yes,No,No,D
1086,17,3.80826992,23,1.158846334,Female,Asian,Bachelor's,No,High,No,No,No,No,F
1087,16,13.39906982,20,1.523748745,Female,Caucasian,High School,Yes,Low,Yes,No,Yes,Yes,F
1088,15,0.008030881,27,0,Male,Asian,High School,No,Low,No,No,Yes,No,F
1089,18,16.11782338,22,1.058622014,Male,Caucasian,High School,No,nan,Yes,No,Yes,No,F
1090,16,1.584992123,10,2.229740184,Male,Asian,High School,No,Moderate,No,No,Yes,Yes,D
1091,18,3.829792298,26,0.194743281,Male,Other,High School,No,Low,No,No,No,Yes,F
1092,18,7.724727906,0,3.506920071,Female,Caucasian,Some College,No,Moderate,Yes,Yes,No,No,A
1093,16,9.697174794,1,3.552286943,Male,Caucasian,Some College,Yes,High,No,No,No,No,A
1094,16,7.099902316,16,2.238491354,Male,Other,Some College,Yes,High,No,Yes,No,No,D
1095,16,6.4142433,4,2.708472344,Female,Caucasian,High School,No,Low,Yes,Yes,No,No,C
1096,16,19.27832024,29,0.732908234,Female,Asian,Bachelor's,No,High,No,No,No,Yes,F
1097,16,12.83159362,29,0.965482445,Female,African American,High School,No,Very High,No,No,Yes,No,F
1098,18,0.468659107,5,2.55523286,Male,Caucasian,Some College,No,Moderate,No,Yes,No,No,C
1099,16,8.603518169,25,0.7443223,Male,Caucasian,Bachelor's,No,Moderate,Yes,No,Yes,Yes,F
1100,15,17.50017399,24,0.722056581,Male,Caucasian,High School,No,Moderate,No,No,No,No,F
1101,17,6.029123728,23,1.27122953,Female,Asian,High School,Yes,Low,Yes,Yes,No,Yes,F
1102,16,1.891126895,6,2.526142141,Female,Caucasian,Bachelor's,No,High,Yes,No,Yes,Yes,C
1103,16,15.16769543,27,0.942415395,Male,African American,High School,No,High,Yes,Yes,No,No,F
1104,18,12.12027664,20,1.515639098,Female,Caucasian,Some College,Yes,Moderate,No,Yes,No,No,F
1105,16,11.40625016,29,0.648273927,Female,African American,nan,No,High,Yes,No,No,No,F
1106,16,1.071531192,14,2.048850082,Female,Asian,Some College,No,High,No,Yes,Yes,Yes,D
1107,16,2.809980196,18,0.842295999,Male,Other,High School,No,nan,Yes,No,No,Yes,F
1108,18,12.45098792,15,1.464187924,Female,Caucasian,nan,No,Low,No,Yes,No,No,F
1109,16,4.156476829,24,1.487946865,Female,Asian,Some College,Yes,High,Yes,Yes,No,No,F
1110,17,10.08140159,12,2.587565796,Male,Asian,High School,Yes,Very High,No,No,No,No,C
1111,18,10.89763372,4,3.220806978,Male,African American,High School,Yes,High,No,No,No,No,B
1112,17,5.670143805,2,3.545159432,Female,Other,nan,Yes,Very High,No,No,Yes,No,A
1113,18,18.96850311,2,3.089598953,Female,Caucasian,High School,No,Moderate,No,No,No,No,B
1114,16,16.84928214,18,1.91995644,Male,Caucasian,High School,Yes,Low,No,Yes,Yes,No,F
1115,17,14.44747015,13,2.198593185,Male,Asian,nan,Yes,Moderate,No,No,No,No,D
1116,18,1.559877328,15,0.878212617,Female,Caucasian,Bachelor's,No,nan,No,No,No,Yes,F
1117,15,2.122600386,21,1.340368648,Female,Asian,nan,No,High,Yes,No,Yes,No,F
1118,16,9.855626917,16,1.819511336,Female,Asian,Some College,No,Very High,No,No,No,No,F
1119,18,3.214266984,26,0.619350931,Female,Caucasian,High School,No,High,No,Yes,No,No,F
1120,15,19.56530927,3,3.61946087,Male,Asian,High School,No,Moderate,Yes,No,Yes,Yes,A
1121,18,3.170404681,12,2.174902796,Female,Caucasian,Bachelor's,Yes,Low,Yes,Yes,No,No,D
1122,15,9.749356709,7,2.974406015,Female,African American,High School,Yes,Low,No,Yes,Yes,No,C
1123,16,7.282421137,18,0.980735844,Male,African American,Higher,No,Moderate,No,No,No,No,F
1124,17,12.78772843,4,3.101673809,Female,Other,High School,No,High,No,No,No,No,B
1125,15,2.580728178,1,3.498257342,Male,Caucasian,Some College,Yes,Moderate,Yes,No,Yes,No,B
1126,18,8.606328561,14,2.590553445,Female,Caucasian,Some College,No,Very High,Yes,No,No,No,C
1127,16,5.494100656,1,3.535003758,Female,African American,Bachelor's,No,High,Yes,No,No,No,A
1128,15,17.75503049,10,2.819921745,Male,Asian,Some College,Yes,Low,No,Yes,No,No,C
1129,18,0.811714243,12,2.016596775,Male,African American,Some College,Yes,Low,Yes,Yes,No,No,D
1130,18,18.27454988,22,1.371185039,Female,Caucasian,High School,Yes,High,No,No,No,No,F
1131,18,16.65988277,9,2.104795588,Female,Caucasian,High School,No,Low,No,No,No,No,D
1132,15,5.951414329,2,3.030439089,Female,Caucasian,Bachelor's,No,High,No,No,No,No,B
1133,15,15.78581309,4,3.582421872,Male,Asian,High School,Yes,Moderate,No,Yes,No,No,A
1134,15,0.624271207,2,2.426546706,Female,Caucasian,High School,No,Low,Yes,No,No,No,D
1135,17,19.33731101,5,3.16143627,Male,Caucasian,Some College,Yes,Moderate,Yes,No,No,No,B
1136,15,10.53189885,12,2.12263853,Male,Other,High School,No,Moderate,Yes,No,No,No,D
1137,15,6.065620521,9,2.204860581,Female,Caucasian,Higher,No,High,No,Yes,No,No,D
1138,15,7.251664252,18,1.1829875,Male,Other,Some College,No,nan,Yes,No,Yes,Yes,F
1139,17,1.328107069,7,2.738795716,Female,African American,Some College,No,High,Yes,No,No,No,C
1140,15,19.78699028,17,2.237901301,Female,Asian,Bachelor's,Yes,High,No,No,No,No,D
1141,18,0.785838903,2,3.139481546,Female,Caucasian,nan,No,High,Yes,No,No,No,B
1142,15,13.09814246,23,1.046044771,Female,Caucasian,High School,Yes,nan,Yes,Yes,No,No,F
1143,18,8.854718554,23,0.816458245,Female,Asian,Some College,Yes,High,No,No,No,No,F
1144,18,18.97832436,16,2.033544621,Male,Asian,High School,No,Moderate,Yes,No,Yes,No,D
1145,18,4.919994806,7,2.432078523,Male,Asian,Some College,Yes,Moderate,Yes,Yes,No,No,D
1146,17,10.64173648,9,2.65977132,Female,Caucasian,Bachelor's,No,High,Yes,No,No,No,C
1147,17,9.647124172,1,3.58888794,Female,Asian,Some College,Yes,Moderate,Yes,No,No,Yes,A
1148,17,14.05732888,11,2.314587628,Male,Asian,High School,No,High,No,Yes,No,No,D
1149,15,1.360204639,22,1.00722582,Male,African American,Higher,No,Low,Yes,Yes,No,Yes,F
1150,18,3.8757826,5,2.881612321,Male,Asian,Some College,No,High,Yes,No,No,No,C
1151,17,4.291296402,1,2.804504929,Male,Asian,Some College,No,Low,No,Yes,Yes,No,C
1152,17,14.7630151,20,1.762921124,Female,African American,High School,Yes,High,No,Yes,No,No,F
1153,15,3.782773927,22,1.119911263,Female,Caucasian,Bachelor's,No,Very High,Yes,No,No,Yes,F
1154,17,11.46983528,23,1.030657506,Male,Caucasian,Some College,No,Moderate,No,No,No,No,F
1155,15,4.30487641,2,3.075619354,Female,Caucasian,Some College,No,Moderate,Yes,No,No,No,B
1156,16,17.232499,16,2.631434065,Male,Caucasian,Bachelor's,Yes,High,Yes,Yes,No,No,C
1157,17,18.84370909,28,0.503066907,Female,Caucasian,High School,No,nan,No,Yes,Yes,Yes,F
1158,16,10.3698595,6,2.784237837,Male,Caucasian,Some College,No,Moderate,No,No,No,No,C
1159,15,7.046177684,28,0.247626765,Female,Caucasian,Bachelor's,No,Moderate,No,No,No,No,F
1160,18,4.6811555,20,1.18954877,Male,Caucasian,High School,No,High,No,No,No,Yes,F
1161,17,0.99562003,4,3.375994009,Male,Asian,Some College,Yes,High,Yes,No,No,Yes,B
1162,15,5.370001524,22,1.293573556,Female,Other,Bachelor's,Yes,High,No,No,No,No,F
1163,18,13.0847156,0,3.718586904,Male,Caucasian,Some College,Yes,High,No,No,Yes,Yes,A
1164,18,10.67233863,7,2.670559615,Female,Other,Some College,No,High,Yes,No,No,No,C
1165,16,18.88082557,11,2.369648013,Female,African American,Bachelor's,Yes,Moderate,Yes,No,No,No,D
1166,15,7.92554525,13,1.62448682,Male,Caucasian,Bachelor's,No,Moderate,No,Yes,No,No,F
1167,18,13.87726685,15,2.537476828,Female,Caucasian,High School,Yes,Moderate,Yes,Yes,No,No,C
1168,17,9.78645495,9,2.298417929,Female,African American,nan,No,Very High,No,Yes,No,No,D
1169,17,10.25152432,14,2.25980415,Female,Asian,Some College,No,High,Yes,No,No,No,D
1170,16,5.355486292,20,1.321343301,Female,Asian,Some College,No,Moderate,No,Yes,No,No,F
1171,18,9.099015537,23,0.949974228,Female,Caucasian,Some College,No,High,No,Yes,No,No,F
1172,15,9.41569994,25,0.818786616,Male,Caucasian,Some College,No,Moderate,Yes,No,No,Yes,F
1173,17,14.13285043,14,2.339224513,Female,Caucasian,High School,Yes,High,No,No,No,No,D
1174,18,18.81279998,9,2.682776288,Female,Caucasian,Some College,No,Moderate,No,Yes,No,No,C
1175,18,6.58642555,20,1.543837471,Female,Caucasian,High School,Yes,Low,Yes,No,No,No,F
1176,16,0.844009372,27,0.196901105,Female,Caucasian,Some College,No,High,Yes,No,No,No,F
1177,17,9.92590251,6,2.748610257,Female,Asian,Some College,No,High,No,No,No,No,C
1178,17,10.88922664,25,1.104893788,Male,Other,High School,Yes,Moderate,Yes,No,Yes,No,F
1179,15,3.368811023,2,2.553439811,Female,Caucasian,High School,No,Moderate,Yes,No,No,No,C
1180,17,15.20929213,1,3.274233459,Male,Other,Some College,No,High,Yes,No,No,Yes,B
1181,15,19.69858217,5,3.186060378,Male,Caucasian,Some College,Yes,High,No,No,No,No,B
1182,17,18.91549434,20,1.72211575,Male,Caucasian,High School,No,High,Yes,No,No,No,F
1183,16,3.942120776,8,2.338046358,Male,Caucasian,Higher,No,Moderate,Yes,Yes,No,No,D
1184,17,17.5072648,9,3.273998748,Female,African American,Some College,Yes,Very High,Yes,Yes,No,No,B
1185,15,14.08987273,3,2.993502391,Male,Other,Higher,No,High,No,No,No,No,C
1186,15,9.076931276,26,0.896397899,Male,African American,Some College,Yes,High,Yes,No,No,No,F
1187,16,10.81221989,2,2.961055259,Female,Caucasian,Some College,No,High,No,No,No,No,C
1188,17,16.9920035,8,2.674351095,Female,African American,Bachelor's,No,Low,Yes,No,No,No,C
1189,17,9.602698793,23,1.217873151,Female,Caucasian,Some College,No,nan,Yes,Yes,No,No,F
1190,16,7.464147382,21,1.36559111,Male,Asian,Some College,Yes,High,No,No,No,No,F
1191,17,9.864949861,16,1.522274845,Female,African American,High School,No,Moderate,No,No,No,Yes,F
1192,17,11.58259608,13,2.231402397,Female,Caucasian,Some College,Yes,High,No,No,No,No,D
1193,15,3.781553076,9,2.135266355,Male,African American,High School,No,Moderate,Yes,No,No,No,D
1194,17,18.01815461,12,2.255698915,Female,African American,High School,No,Moderate,No,No,No,No,D
1195,17,13.48373898,11,2.751145788,Female,Caucasian,nan,Yes,Low,Yes,No,Yes,No,C
1196,16,12.66537835,26,0.897634159,Female,African American,nan,No,High,Yes,Yes,No,No,F
1197,16,1.989924524,0,3.117354435,Female,Caucasian,Higher,No,Low,Yes,No,No,Yes,B
1198,18,12.08347876,27,1.287595131,Male,Asian,High School,No,High,Yes,No,Yes,No,F
1199,15,2.419213245,21,0.571053098,Female,Asian,Some College,No,Moderate,No,No,No,No,F
1200,17,1.573953504,28,0.581355799,Female,Asian,Bachelor's,No,High,Yes,No,No,No,F
1201,17,10.54621791,18,1.643462404,Male,African American,Some College,No,Low,No,No,Yes,No,F
1202,18,8.055710681,18,1.234844041,Female,African American,High School,No,Low,No,No,No,No,F
1203,17,11.7762054,5,2.96809362,Male,Caucasian,Some College,No,High,No,Yes,No,Yes,C
1204,15,1.784443361,12,2.00929848,Female,Asian,Some College,No,Moderate,Yes,No,No,No,D
1205,18,8.619661257,18,1.146086034,Male,Caucasian,Some College,No,Low,Yes,No,No,No,F
1206,15,3.495734301,12,2.192363198,Male,Caucasian,Some College,Yes,Very High,No,No,No,No,D
1207,18,19.74200172,26,0.945730873,Male,Caucasian,Higher,Yes,Low,Yes,No,No,No,F
1208,18,11.22300425,25,0.567250028,Male,Caucasian,Some College,No,Moderate,Yes,No,No,No,F
1209,16,13.74873722,21,0.970764347,Female,African American,High School,No,Low,No,No,No,No,F
1210,15,6.508365614,20,1.656060126,Male,Caucasian,Some College,Yes,Moderate,Yes,No,Yes,Yes,F
1211,17,1.894778296,3,2.839313249,Female,Asian,nan,No,Moderate,No,No,Yes,No,C
1212,17,19.51741726,23,0.18981806,Male,Caucasian,Bachelor's,No,Low,No,No,Yes,Yes,F
1213,15,5.725180708,1,3.258294685,Male,Caucasian,High School,No,High,Yes,No,No,No,B
1214,17,8.476163703,14,1.920055853,Male,African American,High School,Yes,Moderate,No,No,No,No,F
1215,17,12.99727843,11,2.021771494,Female,Caucasian,Bachelor's,No,High,No,No,No,No,D
1216,15,0.493945954,29,0.125933075,Male,Caucasian,Some College,Yes,Low,Yes,No,No,No,F
1217,18,16.20518261,26,1.287013412,Female,Asian,High School,Yes,Moderate,Yes,No,No,No,F
1218,15,10.7315638,6,2.591426703,Female,Caucasian,Some College,No,nan,Yes,No,Yes,No,C
1219,18,5.564343741,19,1.463379649,Female,Asian,Bachelor's,Yes,High,No,No,No,No,F
1220,17,1.232159706,17,1.465549386,Female,Caucasian,High School,No,High,No,No,No,No,F
1221,17,3.249968309,22,1.710466838,Female,Caucasian,Bachelor's,No,High,Yes,Yes,No,Yes,F
1222,17,17.90067718,12,2.288505685,Female,Asian,nan,No,Moderate,No,Yes,No,Yes,D
1223,16,13.72048448,16,1.960968849,Female,Caucasian,Some College,No,High,No,No,Yes,No,F
1224,18,4.998034433,3,2.621623326,Female,Caucasian,Bachelor's,No,High,No,No,No,No,C
1225,16,1.312015299,24,0.768316386,Female,Caucasian,High School,No,nan,Yes,No,No,No,F
1226,16,13.81230625,13,1.806406345,Male,Caucasian,Some College,No,Low,No,No,Yes,No,F
1227,15,11.44815452,19,0.881866353,Male,Asian,High School,No,Moderate,No,No,No,No,F
1228,16,8.090390489,27,0.817068221,Male,Caucasian,Some College,No,High,No,Yes,No,No,F
1229,15,7.272228984,12,1.446132528,Male,Asian,Some College,Yes,nan,No,No,No,No,F
1230,15,4.336285519,2,3.339094362,Male,Asian,Some College,No,High,No,Yes,No,No,B
1231,16,13.39222513,25,0.819625478,Female,Caucasian,High School,No,Moderate,No,No,No,No,F
1232,18,19.41336056,25,0.676817973,Female,Other,High School,No,Moderate,No,No,No,No,F
1233,18,3.514304917,17,1.389544874,Female,Caucasian,nan,No,Low,No,Yes,No,Yes,F
1234,18,11.9423324,13,1.991508414,Female,Other,High School,No,Moderate,No,Yes,No,Yes,F
1235,18,8.483701115,14,1.63986755,Female,Caucasian,Some College,No,nan,No,Yes,No,No,F
1236,18,8.933774435,2,2.511743021,Female,African American,Bachelor's,No,nan,No,Yes,No,No,C
1237,16,5.082945603,0,2.98391995,Female,Caucasian,Some College,No,High,No,No,Yes,No,C
1238,16,16.50269751,25,1.258654854,Male,Caucasian,Some College,Yes,Moderate,No,No,Yes,No,F
1239,17,9.705112083,23,1.417929927,Male,African American,Higher,Yes,Moderate,No,No,No,No,F
1240,18,10.86811704,16,1.597016572,Male,Asian,Some College,No,Low,Yes,No,Yes,No,F
1241,16,6.095218256,2,3.088699868,Male,Caucasian,Bachelor's,Yes,Moderate,No,Yes,No,No,B
1242,17,3.636169313,13,1.641341443,Female,Caucasian,Some College,No,nan,Yes,Yes,No,No,F
1243,18,1.718207764,2,2.586870656,Female,Asian,High School,No,Moderate,No,Yes,No,No,C
1244,15,14.28238282,12,2.389032645,Female,African American,nan,Yes,Moderate,No,No,No,No,D
1245,17,3.924685634,14,1.8981464,Male,Other,Some College,No,Moderate,Yes,No,No,No,F
1246,16,13.80150708,17,2.110487975,Female,Asian,High School,No,Very High,No,Yes,No,No,D
1247,15,7.807528921,13,1.700273589,Female,Other,High School,No,Moderate,No,No,No,No,F
1248,15,8.31549602,20,1.044499995,Female,Asian,Some College,No,Moderate,Yes,No,No,No,F
1249,15,9.383549922,25,1.194166134,Male,Caucasian,Some College,No,Moderate,No,Yes,No,No,F
1250,17,7.354170163,2,2.649136828,Female,Caucasian,Some College,No,Low,No,No,Yes,No,C
1251,16,2.012399544,18,1.234141389,Male,Asian,High School,No,High,No,Yes,No,No,F
1252,15,6.1926362,7,2.127408866,Male,African American,High School,No,Moderate,Yes,No,No,No,D
1253,18,13.27468721,3,2.913887649,Male,Caucasian,Some College,Yes,Low,Yes,No,No,No,C
1254,15,13.31568803,3,3.119393913,Male,Caucasian,Higher,No,High,No,No,No,Yes,B
1255,15,5.724486145,18,1.036378738,Female,Other,Some College,Yes,nan,No,No,No,No,F
1256,17,9.202052531,10,2.403284547,Male,African American,Bachelor's,No,Very High,Yes,No,No,Yes,D
1257,17,3.86894456,0,3.156508064,Male,Caucasian,Some College,Yes,High,No,No,No,No,B
1258,16,4.207441631,7,2.723471859,Female,Caucasian,Some College,Yes,Moderate,No,Yes,Yes,No,C
1259,18,0.460941768,14,1.530951146,Female,Caucasian,High School,No,Low,Yes,Yes,No,No,F
1260,17,17.934931,0,3.468581349,Male,Caucasian,Some College,No,Low,No,No,No,No,B
1261,15,4.214133301,6,2.302032044,Female,Caucasian,Some College,No,Low,Yes,No,No,No,D
1262,16,4.550677539,20,1.265677909,Male,Caucasian,Some College,Yes,Low,Yes,No,No,No,F
1263,15,5.592028653,19,1.479602228,Male,Asian,Some College,No,Moderate,Yes,Yes,No,Yes,F
1264,15,2.548161434,19,1.445076719,Male,Caucasian,Some College,No,Very High,No,No,Yes,Yes,F
1265,17,12.78525766,23,0.80943381,Male,Asian,High School,No,Moderate,No,No,No,No,F
1266,16,1.502859064,10,2.15023327,Female,Asian,Some College,Yes,High,No,No,No,No,D
1267,18,2.684048527,26,0.559143716,Male,Caucasian,High School,No,High,No,No,No,No,F
1268,18,12.89513453,28,0.580788485,Female,African American,Bachelor's,No,High,No,No,No,No,F
1269,17,6.79321241,13,1.602089196,Female,Caucasian,High School,No,nan,No,Yes,Yes,Yes,F
1270,17,14.15895653,21,1.002798364,Female,Asian,nan,Yes,Moderate,No,Yes,No,No,F
1271,16,11.14849489,15,1.663063453,Female,Caucasian,Some College,No,High,No,No,No,No,F
1272,18,5.120423461,13,1.53154646,Male,African American,Some College,No,High,No,No,No,Yes,F
1273,18,13.01655901,11,2.205842147,Female,African American,Some College,No,Very High,No,No,No,No,D
1274,18,2.325473606,16,1.155338561,Male,Caucasian,High School,No,High,No,No,No,Yes,F
1275,15,10.72820766,13,2.15375834,Female,Caucasian,Some College,Yes,Low,No,No,No,No,D
1276,18,8.742962101,9,2.592786686,Female,African American,High School,No,Moderate,Yes,No,No,Yes,C
1277,15,5.357471656,23,0.912330507,Male,Asian,Bachelor's,No,nan,Yes,Yes,No,No,F
1278,16,12.08009995,28,0.695630933,Male,Caucasian,Bachelor's,Yes,High,No,No,No,No,F
1279,15,17.42667185,13,2.139619891,Male,African American,Some College,Yes,Moderate,No,No,No,No,D
1280,16,19.978094,17,1.550449331,Female,Caucasian,High School,No,High,No,No,No,No,F
1281,18,12.15525537,21,1.5475367,Female,Asian,Some College,No,Very High,No,No,No,Yes,F
1282,18,8.094117487,8,2.966548034,Male,Caucasian,nan,Yes,High,No,No,Yes,No,C
1283,16,4.504142004,16,1.633679371,Male,Asian,Some College,No,Moderate,Yes,No,No,Yes,F
